"","año","mes","fecha","ciudad","temperatura"
"241",1998,"JUN","1998-6-1","ipiales",11.1
"242",1999,"JUN","1999-6-1","ipiales",10.6
"243",2000,"JUN","2000-6-1","ipiales",10.9
"244",2001,"JUN","2001-6-1","ipiales",10.2
"245",2002,"JUN","2002-6-1","ipiales",10.5
"246",2003,"JUN","2003-6-1","ipiales",10.9
"247",2004,"JUN","2004-6-1","ipiales",10.4
"248",2005,"JUN","2005-6-1","ipiales",11.2
"249",2006,"JUN","2006-6-1","ipiales",10.8
"250",2007,"JUN","2007-6-1","ipiales",10.7
"251",2008,"JUN","2008-6-1","ipiales",11.1
"252",2009,"JUN","2009-6-1","ipiales",11.2
"253",2010,"JUN","2010-6-1","ipiales",11.5
"254",2011,"JUN","2011-6-1","ipiales",11.3
"255",2012,"JUN","2012-6-1","ipiales",NA
"256",2013,"JUN","2013-6-1","ipiales",10.8
"257",2014,"JUN","2014-6-1","ipiales",11
"258",2015,"JUN","2015-6-1","ipiales",NA
"259",1973,"JUL","1973-7-1","ipiales",NA
"260",1974,"JUL","1974-7-1","ipiales",NA
"261",1975,"JUL","1975-7-1","ipiales",9
"262",1976,"JUL","1976-7-1","ipiales",NA
"263",1977,"JUL","1977-7-1","ipiales",9.8
"264",1978,"JUL","1978-7-1","ipiales",9.6
"265",1979,"JUL","1979-7-1","ipiales",NA
"266",1980,"JUL","1980-7-1","ipiales",NA
"267",1981,"JUL","1981-7-1","ipiales",9.3
"268",1982,"JUL","1982-7-1","ipiales",9.8
"269",1983,"JUL","1983-7-1","ipiales",10
"270",1984,"JUL","1984-7-1","ipiales",9.5
"271",1985,"JUL","1985-7-1","ipiales",8.6
"272",1986,"JUL","1986-7-1","ipiales",9.3
"273",1987,"JUL","1987-7-1","ipiales",10.7
"274",1988,"JUL","1988-7-1","ipiales",10
"275",1989,"JUL","1989-7-1","ipiales",9.8
"276",1990,"JUL","1990-7-1","ipiales",10.1
"277",1991,"JUL","1991-7-1","ipiales",10.3
"278",1992,"JUL","1992-7-1","ipiales",9.5
"279",1993,"JUL","1993-7-1","ipiales",9.9
"280",1994,"JUL","1994-7-1","ipiales",10
"281",1995,"JUL","1995-7-1","ipiales",10.6
"282",1996,"JUL","1996-7-1","ipiales",9.9
"283",1997,"JUL","1997-7-1","ipiales",9.8
"284",1998,"JUL","1998-7-1","ipiales",10.4
"285",1999,"JUL","1999-7-1","ipiales",9.8
"286",2000,"JUL","2000-7-1","ipiales",10.1
"287",2001,"JUL","2001-7-1","ipiales",10.6
"288",2002,"JUL","2002-7-1","ipiales",11
"289",2003,"JUL","2003-7-1","ipiales",10.2
"290",2004,"JUL","2004-7-1","ipiales",10.3
"291",2005,"JUL","2005-7-1","ipiales",10.5
"292",2006,"JUL","2006-7-1","ipiales",10.2
"293",2007,"JUL","2007-7-1","ipiales",10.5
"294",2008,"JUL","2008-7-1","ipiales",10.4
"295",2009,"JUL","2009-7-1","ipiales",10.7
"296",2010,"JUL","2010-7-1","ipiales",11
"297",2011,"JUL","2011-7-1","ipiales",10.4
"298",2012,"JUL","2012-7-1","ipiales",10.3
"299",2013,"JUL","2013-7-1","ipiales",9.9
"300",2014,"JUL","2014-7-1","ipiales",10.4
"301",2015,"JUL","2015-7-1","ipiales",NA
"302",1973,"AUG","1973-8-1","ipiales",NA
"303",1974,"AUG","1974-8-1","ipiales",NA
"304",1975,"AUG","1975-8-1","ipiales",9.5
"305",1976,"AUG","1976-8-1","ipiales",9.2
"306",1977,"AUG","1977-8-1","ipiales",9.8
"307",1978,"AUG","1978-8-1","ipiales",9.1
"308",1979,"AUG","1979-8-1","ipiales",10.5
"309",1980,"AUG","1980-8-1","ipiales",NA
"310",1981,"AUG","1981-8-1","ipiales",10.4
"311",1982,"AUG","1982-8-1","ipiales",9.7
"312",1983,"AUG","1983-8-1","ipiales",10
"313",1984,"AUG","1984-8-1","ipiales",10.1
"314",1985,"AUG","1985-8-1","ipiales",9.3
"315",1986,"AUG","1986-8-1","ipiales",9.7
"316",1987,"AUG","1987-8-1","ipiales",10.5
"317",1988,"AUG","1988-8-1","ipiales",10
"318",1989,"AUG","1989-8-1","ipiales",9.9
"319",1990,"AUG","1990-8-1","ipiales",10.1
"320",1991,"AUG","1991-8-1","ipiales",9.3
"321",1992,"AUG","1992-8-1","ipiales",10.2
"322",1993,"AUG","1993-8-1","ipiales",9.9
"323",1994,"AUG","1994-8-1","ipiales",10
"324",1995,"AUG","1995-8-1","ipiales",10.6
"325",1996,"AUG","1996-8-1","ipiales",9.8
"326",1997,"AUG","1997-8-1","ipiales",10.2
"327",1998,"AUG","1998-8-1","ipiales",10.4
"328",1999,"AUG","1999-8-1","ipiales",9.4
"329",2000,"AUG","2000-8-1","ipiales",9.9
"330",2001,"AUG","2001-8-1","ipiales",10
"331",2002,"AUG","2002-8-1","ipiales",10.3
"332",2003,"AUG","2003-8-1","ipiales",10.7
"333",2004,"AUG","2004-8-1","ipiales",10.1
"334",2005,"AUG","2005-8-1","ipiales",10.4
"335",2006,"AUG","2006-8-1","ipiales",10.3
"336",2007,"AUG","2007-8-1","ipiales",10.2
"337",2008,"AUG","2008-8-1","ipiales",10.6
"338",2009,"AUG","2009-8-1","ipiales",11.2
"339",2010,"AUG","2010-8-1","ipiales",10.4
"340",2011,"AUG","2011-8-1","ipiales",10.4
"341",2012,"AUG","2012-8-1","ipiales",10.1
"342",2013,"AUG","2013-8-1","ipiales",10.5
"343",2014,"AUG","2014-8-1","ipiales",9.8
"344",2015,"AUG","2015-8-1","ipiales",NA
"345",1973,"SEP","1973-9-1","ipiales",NA
"346",1974,"SEP","1974-9-1","ipiales",NA
"347",1975,"SEP","1975-9-1","ipiales",9.7
"348",1976,"SEP","1976-9-1","ipiales",9.9
"349",1977,"SEP","1977-9-1","ipiales",10
"350",1978,"SEP","1978-9-1","ipiales",10.2
"351",1979,"SEP","1979-9-1","ipiales",10.6
"352",1980,"SEP","1980-9-1","ipiales",NA
"353",1981,"SEP","1981-9-1","ipiales",9.5
"354",1982,"SEP","1982-9-1","ipiales",11.1
"355",1983,"SEP","1983-9-1","ipiales",9.9
"356",1984,"SEP","1984-9-1","ipiales",10
"357",1985,"SEP","1985-9-1","ipiales",9.9
"358",1986,"SEP","1986-9-1","ipiales",10.1
"359",1987,"SEP","1987-9-1","ipiales",10.8
"360",1988,"SEP","1988-9-1","ipiales",10.5
"361",1989,"SEP","1989-9-1","ipiales",10.2
"362",1990,"SEP","1990-9-1","ipiales",10.8
"363",1991,"SEP","1991-9-1","ipiales",10.8
"364",1992,"SEP","1992-9-1","ipiales",10.6
"365",1993,"SEP","1993-9-1","ipiales",10.4
"366",1994,"SEP","1994-9-1","ipiales",10.4
"367",1995,"SEP","1995-9-1","ipiales",10.6
"368",1996,"SEP","1996-9-1","ipiales",10.2
"369",1997,"SEP","1997-9-1","ipiales",11.1
"370",1998,"SEP","1998-9-1","ipiales",10.9
"371",1999,"SEP","1999-9-1","ipiales",10.6
"372",2000,"SEP","2000-9-1","ipiales",10.5
"373",2001,"SEP","2001-9-1","ipiales",10.3
"374",2002,"SEP","2002-9-1","ipiales",10.7
"375",2003,"SEP","2003-9-1","ipiales",11.2
"376",2004,"SEP","2004-9-1","ipiales",10.8
"377",2005,"SEP","2005-9-1","ipiales",10.8
"378",2006,"SEP","2006-9-1","ipiales",10.4
"379",2007,"SEP","2007-9-1","ipiales",10.1
"380",2008,"SEP","2008-9-1","ipiales",10.8
"381",2009,"SEP","2009-9-1","ipiales",10.9
"382",2010,"SEP","2010-9-1","ipiales",10.8
"383",2011,"SEP","2011-9-1","ipiales",10.2
"384",2012,"SEP","2012-9-1","ipiales",10.3
"385",2013,"SEP","2013-9-1","ipiales",10.8
"386",2014,"SEP","2014-9-1","ipiales",10.5
"387",2015,"SEP","2015-9-1","ipiales",NA
"388",1973,"OCT","1973-10-1","ipiales",NA
"389",1974,"OCT","1974-10-1","ipiales",NA
"390",1975,"OCT","1975-10-1","ipiales",10.3
"391",1976,"OCT","1976-10-1","ipiales",10.7
"392",1977,"OCT","1977-10-1","ipiales",11.1
"393",1978,"OCT","1978-10-1","ipiales",11.2
"394",1979,"OCT","1979-10-1","ipiales",NA
"395",1980,"OCT","1980-10-1","ipiales",NA
"396",1981,"OCT","1981-10-1","ipiales",11
"397",1982,"OCT","1982-10-1","ipiales",11.2
"398",1983,"OCT","1983-10-1","ipiales",10.8
"399",1984,"OCT","1984-10-1","ipiales",10.6
"400",1985,"OCT","1985-10-1","ipiales",11
"401",1986,"OCT","1986-10-1","ipiales",11.3
"402",1987,"OCT","1987-10-1","ipiales",11.6
"403",1988,"OCT","1988-10-1","ipiales",11.4
"404",1989,"OCT","1989-10-1","ipiales",11.2
"405",1990,"OCT","1990-10-1","ipiales",11.8
"406",1991,"OCT","1991-10-1","ipiales",10.2
"407",1992,"OCT","1992-10-1","ipiales",10.7
"408",1993,"OCT","1993-10-1","ipiales",10.7
"409",1994,"OCT","1994-10-1","ipiales",11.2
"410",1995,"OCT","1995-10-1","ipiales",11.4
"411",1996,"OCT","1996-10-1","ipiales",11
"412",1997,"OCT","1997-10-1","ipiales",11.9
"413",1998,"OCT","1998-10-1","ipiales",11.3
"414",1999,"OCT","1999-10-1","ipiales",10.5
"415",2000,"OCT","2000-10-1","ipiales",10.8
"416",2001,"OCT","2001-10-1","ipiales",12.3
"417",2002,"OCT","2002-10-1","ipiales",10.9
"418",2003,"OCT","2003-10-1","ipiales",11.7
"419",2004,"OCT","2004-10-1","ipiales",NA
"420",2005,"OCT","2005-10-1","ipiales",11.8
"421",2006,"OCT","2006-10-1","ipiales",11.8
"422",2007,"OCT","2007-10-1","ipiales",11.4
"423",2008,"OCT","2008-10-1","ipiales",11.3
"424",2009,"OCT","2009-10-1","ipiales",11.8
"425",2010,"OCT","2010-10-1","ipiales",11.1
"426",2011,"OCT","2011-10-1","ipiales",11.4
"427",2012,"OCT","2012-10-1","ipiales",11.4
"428",2013,"OCT","2013-10-1","ipiales",11.5
"429",2014,"OCT","2014-10-1","ipiales",11.1
"430",2015,"OCT","2015-10-1","ipiales",NA
"431",1973,"NOV","1973-11-1","ipiales",NA
"432",1974,"NOV","1974-11-1","ipiales",NA
"433",1975,"NOV","1975-11-1","ipiales",10.4
"434",1976,"NOV","1976-11-1","ipiales",10.4
"435",1977,"NOV","1977-11-1","ipiales",11.2
"436",1978,"NOV","1978-11-1","ipiales",11.3
"437",1979,"NOV","1979-11-1","ipiales",NA
"438",1980,"NOV","1980-11-1","ipiales",NA
"439",1981,"NOV","1981-11-1","ipiales",11.4
"440",1982,"NOV","1982-11-1","ipiales",11.7
"441",1983,"NOV","1983-11-1","ipiales",11.3
"442",1984,"NOV","1984-11-1","ipiales",10.4
"443",1985,"NOV","1985-11-1","ipiales",10.5
"444",1986,"NOV","1986-11-1","ipiales",11
"445",1987,"NOV","1987-11-1","ipiales",11.6
"446",1988,"NOV","1988-11-1","ipiales",11.5
"447",1989,"NOV","1989-11-1","ipiales",11.7
"448",1990,"NOV","1990-11-1","ipiales",11.6
"449",1991,"NOV","1991-11-1","ipiales",11.4
"450",1992,"NOV","1992-11-1","ipiales",11.6
"451",1993,"NOV","1993-11-1","ipiales",10.9
"452",1994,"NOV","1994-11-1","ipiales",11.1
"453",1995,"NOV","1995-11-1","ipiales",11.7
"454",1996,"NOV","1996-11-1","ipiales",10.8
"455",1997,"NOV","1997-11-1","ipiales",11.8
"456",1998,"NOV","1998-11-1","ipiales",11.8
"457",1999,"NOV","1999-11-1","ipiales",11.3
"458",2000,"NOV","2000-11-1","ipiales",11.5
"459",2001,"NOV","2001-11-1","ipiales",11.7
"460",2002,"NOV","2002-11-1","ipiales",11.1
"461",2003,"NOV","2003-11-1","ipiales",NA
"462",2004,"NOV","2004-11-1","ipiales",11.9
"463",2005,"NOV","2005-11-1","ipiales",11.9
"464",2006,"NOV","2006-11-1","ipiales",11.9
"465",2007,"NOV","2007-11-1","ipiales",11.5
"466",2008,"NOV","2008-11-1","ipiales",11.7
"467",2009,"NOV","2009-11-1","ipiales",12.3
"468",2010,"NOV","2010-11-1","ipiales",11.4
"469",2011,"NOV","2011-11-1","ipiales",11.7
"470",2012,"NOV","2012-11-1","ipiales",11.8
"471",2013,"NOV","2013-11-1","ipiales",11.3
"472",2014,"NOV","2014-11-1","ipiales",12
"473",2015,"NOV","2015-11-1","ipiales",NA
"474",1973,"DEC","1973-12-1","ipiales",NA
"475",1974,"DEC","1974-12-1","ipiales",NA
"476",1975,"DEC","1975-12-1","ipiales",10.3
"477",1976,"DEC","1976-12-1","ipiales",10.5
"478",1977,"DEC","1977-12-1","ipiales",11.4
"479",1978,"DEC","1978-12-1","ipiales",11.3
"480",1979,"DEC","1979-12-1","ipiales",NA
"481",1980,"DEC","1980-12-1","ipiales",NA
"482",1981,"DEC","1981-12-1","ipiales",11.1
"483",1982,"DEC","1982-12-1","ipiales",12
"484",1983,"DEC","1983-12-1","ipiales",10.7
"485",1984,"DEC","1984-12-1","ipiales",11.2
"486",1985,"DEC","1985-12-1","ipiales",11.3
"487",1986,"DEC","1986-12-1","ipiales",11.2
"488",1987,"DEC","1987-12-1","ipiales",11.3
"489",1988,"DEC","1988-12-1","ipiales",11.5
"490",1989,"DEC","1989-12-1","ipiales",11.5
"491",1990,"DEC","1990-12-1","ipiales",11.3
"492",1991,"DEC","1991-12-1","ipiales",11.5
"493",1992,"DEC","1992-12-1","ipiales",11.6
"494",1993,"DEC","1993-12-1","ipiales",11.6
"495",1994,"DEC","1994-12-1","ipiales",11.4
"496",1995,"DEC","1995-12-1","ipiales",11.3
"497",1996,"DEC","1996-12-1","ipiales",10.6
"498",1997,"DEC","1997-12-1","ipiales",11.5
"499",1998,"DEC","1998-12-1","ipiales",11.4
"500",1999,"DEC","1999-12-1","ipiales",11.3
"501",2000,"DEC","2000-12-1","ipiales",11.3
"502",2001,"DEC","2001-12-1","ipiales",12.4
"503",2002,"DEC","2002-12-1","ipiales",11.9
"504",2003,"DEC","2003-12-1","ipiales",11.4
"505",2004,"DEC","2004-12-1","ipiales",NA
"506",2005,"DEC","2005-12-1","ipiales",11.5
"507",2006,"DEC","2006-12-1","ipiales",11.9
"508",2007,"DEC","2007-12-1","ipiales",11.2
"509",2008,"DEC","2008-12-1","ipiales",11.8
"510",2009,"DEC","2009-12-1","ipiales",12.1
"511",2010,"DEC","2010-12-1","ipiales",11.1
"512",2011,"DEC","2011-12-1","ipiales",11.5
"513",2012,"DEC","2012-12-1","ipiales",NA
"514",2013,"DEC","2013-12-1","ipiales",11.6
"515",2014,"DEC","2014-12-1","ipiales",11.8
"516",2015,"DEC","2015-12-1","ipiales",NA
"517",1951,"JAN","1951-1-1","cali",22.7
"518",1952,"JAN","1952-1-1","cali",23.8
"519",1953,"JAN","1953-1-1","cali",23.1
"520",1954,"JAN","1954-1-1","cali",24
"521",1955,"JAN","1955-1-1","cali",24.3
"522",1956,"JAN","1956-1-1","cali",23.8
