No,m2s_ratio,lonm,latm,area(km2),Vol(km3/yr)
541,10000,145.93,-43.15,686.0,1402
542,10000,-1.94,54.95,2176.0,1436
543,10000,25.4,65.2,3845.0,1400
544,10000,-97.67,20.92,4341.0,1506
545,10000,-41.86,-21.64,3118.0,1383
546,10000,33.08,68.85,3780.0,1376
547,10000,6.9,43.75,1827.0,1370
548,10000,126.72,35.03,2000.0,1352
549,10000,-85.95,13.5,5510.0,1059
550,10000,174.15,68.53,6810.0,1331
551,10000,130.57,32.92,907.0,1327
552,10000,-91.04,18.18,9628.0,1312
578,10000,132.18,69.53,10800.0,1136
579,10000,126.22,39.24,1878.0,1119
727,10000,101.71,3.15,490.0,699
581,10000,126.99,-14.66,14000.0,1144
606,10000,6.33,52.25,3600.0,1020
607,10000,77.93,8.62,4505.0,1012
608,10000,-74.68,20.38,753.0,1005
609,10000,-38.07,-12.51,4860.0,999
610,10000,151.55,-32.73,17476.0,752
611,10000,19.87,40.76,2070.0,1005
612,10000,-35.58,-8.68,5100.0,996
613,10000,101.16,4.11,461.0,999
614,10000,18.59,63.56,3030.0,994
615,10000,-6.57,53.7,2695.0,992
616,10000,48.25,66.5,2780.0,979
617,10000,176.76,-37.94,906.0,964
618,10000,1.83,50.1,5560.0,983
619,10000,-5.9,32.68,3330.0,981
620,10000,-68.27,57.67,2140.0,972
621,10000,-2.97,52.97,1019.0,975
